Theta,Stif2
151.010101,1155206.222
152.020202,1147387.762
153.030303,1139464.379
154.040404,1131435.37
155.0505051,1123300.038
156.0606061,1115057.684
157.0707071,1106707.606
158.0808081,1098249.107
159.0909091,1089681.487
160.1010101,1081004.046
161.1111111,1072216.085
162.1212121,1063316.905
163.1313131,1054305.807
164.1414141,1045182.09
165.1515152,1035945.056
166.1616162,1026594.006
167.1717172,1017128.239
168.1818182,1007547.057
169.1919192,997849.7594
170.2020202,988035.648
171.2121212,978104.023
172.2222222,968054.185
173.2323232,957885.4346
174.2424242,947597.0725
175.2525253,937188.3993
176.2626263,926658.7156
177.2727273,916007.3221
178.2828283,905233.5194
179.2929293,894336.608
180.3030303,883315.8888
181.3131313,872170.6622
182.3232323,860900.2288
183.3333333,849503.8894
184.3434343,837980.9446
185.3535354,826330.6949
186.3636364,814552.4411
187.3737374,802645.4837
188.3838384,790609.1233
189.3939394,778442.6606
190.4040404,766145.3963
191.4141414,753716.6309
192.4242424,741155.6651
193.4343434,728461.7995
194.4444444,715634.3347
195.4545455,702672.5713
196.4646465,689575.8101
197.4747475,676343.3516
198.4848485,662974.4964
199.4949495,649468.5452
200.5050505,635824.7986
201.5151515,622042.5572
202.5252525,608121.1216
203.5353535,594059.7926
204.5454545,579857.8706
205.5555556,565514.6564
206.5656566,551029.4506
207.5757576,536401.5538
208.5858586,521630.2665
209.5959596,506714.8896
210.6060606,491654.7235
211.6161616,476449.0689
212.6262626,461097.2265
213.6363636,445598.4968
214.6464646,429952.1805
215.6565657,414157.5782
216.6666667,398213.9906
217.6767677,382120.7182
218.6868687,365877.0617
219.6969697,349482.3218
220.7070707,332935.799
221.7171717,316236.7941
222.7272727,299384.6075
223.7373737,282378.54
224.7474747,265217.8921
225.7575758,247901.9645
226.7676768,230430.0579
227.7777778,212801.4728
228.7878788,195015.5099
229.7979798,177071.4698
230.8080808,158968.6532
231.8181818,140706.3606
232.8282828,122283.8927
233.8383838,103700.5501
234.8484848,84955.63349
235.8585859,66048.44344
236.8686869,46978.28059
237.8787879,27744.44558
238.8888889,8346.239033
