phi;theta;Vol (um3);Flatness;Target
188.022;59.1799;0.0074698;1.86138;0
188.015;21.8344;0.00569462;2.65494;0
188.008;58.3727;0.00775102;1.49688;0
188;59.6634;0.00485098;2.14021;0
187.998;25.823;0.00492128;1.71932;0
187.963;60.0112;0.0102644;1.89595;0
187.944;46.209;0.0136566;1.40296;0
187.934;46.3584;0.00529038;1.49861;0
187.921;61.6559;0.00701282;2.24631;0
187.906;25.2829;0.0127953;3.13188;0
187.902;51.1812;0.00472794;1.76731;0
187.814;46.4363;0.00500916;2.48259;0
187.786;60.4491;0.0213021;1.15485;0
187.767;21.4426;0.010862;1.81444;0
187.745;45.9662;0.00715343;1.19293;0
187.745;46.2739;0.00502674;1.2719;0
187.734;59.7124;0.00583523;1.51545;0
187.7;34.259;0.00507946;3.29337;0
187.684;59.6018;0.00580008;2.01409;0
187.675;60.6525;0.00731162;1.14932;0
187.659;57.5738;0.00485098;2.81029;0
187.658;60.3903;0.00560674;1.839;0
187.635;58.8668;0.0075401;1.42687;0
187.615;24.9147;0.00516734;1.94138;0
187.589;60.0986;0.0150099;2.95733;0
187.58;20.957;0.0327265;1.43931;0
187.538;42.5293;0.00766314;1.83811;0
187.535;35.5054;0.00757526;2.0476;0
187.532;59.2454;0.00587038;1.72613;0
187.517;18.2359;0.00576493;4.13826;0
187.443;26.0415;0.0092977;1.32221;0
187.429;23.3978;0.00518492;1.46191;0
187.398;47.2424;0.00469279;1.28222;0
187.394;58.0585;0.00643282;1.69306;0
187.306;61.5936;0.00694252;1.3311;0
187.3;20.2874;0.00522007;1.46435;0
187.286;24.3853;0.0074698;1.16127;0
187.261;56.4154;0.00478067;1.76738;0
187.257;59.5354;0.00616918;1.87381;0
187.186;58.2674;0.00492128;1.43912;0
187.097;56.5574;0.00467522;2.06627;0
187.068;54.8293;0.00544856;2.05606;0
187.054;59.3803;0.00537826;1.42863;0
187.049;57.443;0.0197203;3.37523;0
187.025;60.2596;0.00506189;1.23184;0
187.007;42.6871;0.00551886;1.55957;0
186.978;43.5073;0.00924498;2.1005;0
186.941;44.3868;0.0066613;1.29324;0
186.941;58.5601;0.00488613;1.65123;0
186.921;41.7994;0.00472794;1.71711;0
186.908;24.7146;0.00785647;1.77629;0
186.901;25.611;0.00862982;1.31627;0
186.881;60.1594;0.00485098;1.47763;0
186.879;60.8714;0.0101941;1.16246;0
186.84;67.045;0.0060813;2.74795;0
186.835;32.9415;0.00485098;2.83395;0
186.779;25.7499;0.0187184;2.09698;0
186.726;59.4923;0.00773344;1.06124;0
186.724;44.2149;0.00581766;1.93699;0
186.713;60.7626;0.00993044;1.62601;0
186.683;52.4592;0.0334471;4.29433;0
186.677;27.1747;0.00492128;1.48341;0
186.674;60.6846;0.0108971;3.8234;0
186.673;59.9044;0.00565947;1.05406;0
186.663;59.1088;0.00465764;1.49947;0
186.632;26.1711;0.0048334;1.75721;0
186.622;25.8005;0.00478067;1.55886;0
186.545;61.0537;0.00551886;1.8012;0
186.54;22.7902;0.00525522;1.37906;0
186.535;22.9284;0.00518492;1.2976;0
186.513;59.1214;0.00467522;1.27018;0
186.508;58.6211;0.00630978;1.31678;0
186.506;59.5981;0.00523765;1.83293;0
186.491;42.9134;0.00474552;1.51988;0
186.459;24.0917;0.00599342;1.43114;0
186.448;21.6164;0.00488613;1.14278;0
186.421;44.4022;0.00541341;1.21907;0
186.417;28.2754;0.00500916;1.70237;0
186.411;26.4941;0.00472794;1.36069;0
186.41;18.29;0.00506189;1.99586;0
186.357;22.3184;0.00574735;2.40065;0
186.296;25.2841;0.00495643;1.83521;0
186.289;42.9839;0.00601099;1.36247;0
186.259;44.2638;0.104489;1.82917;0
186.255;44.529;0.00465764;1.67716;0
186.249;25.6524;0.00602857;1.95104;0
186.242;22.6676;0.00537826;1.27097;0
186.234;47.0695;0.00536068;1.36755;0
186.226;23.3453;0.00968438;1.29425;0
186.215;45.7984;0.0092977;2.06105;0
186.212;55.2699;0.00469279;2.24263;0
186.164;59.4822;0.0075401;1.08051;0
186.148;25.6849;0.0048334;3.76906;0
186.147;59.5418;0.00594069;1.41701;0
186.108;45.943;0.00525522;1.91891;0
186.092;22.2012;0.00493886;1.30038;0
186.083;60.4389;0.00539583;3.17512;0
186.083;60.3709;0.00485098;1.78142;0
186.065;20.6606;0.00471037;1.54396;0
186.051;59.4016;0.0047631;1.14299;0
186.03;60.1452;0.00567705;1.1726;0
186.019;18.6005;0.00833102;2.26699;0
186.003;47.5305;0.0106511;1.77037;0
185.97;59.1214;0.00636251;1.28224;0
185.951;57.0331;0.0201772;1.42021;0
185.923;60.7092;0.00478067;4.88866;0
185.919;43.1899;0.00595826;1.15362;0
185.914;31.4987;0.00604614;2.60358;0
185.896;43.7873;0.0052728;2.10277;0
185.873;58.8965;0.0253446;4.93651;0
185.862;56.3425;0.0047631;2.75013;0
185.842;46.1462;0.00500916;1.79846;0
185.835;59.6521;0.00741707;1.27143;0
185.824;54.8628;0.0095965;2.11081;0
185.797;57.3585;0.00546614;1.64379;0
185.788;21.4094;0.0066613;1.42807;0
185.782;59.1673;0.00536068;1.23534;0
185.78;46.3246;0.00478067;1.63392;0
185.725;42.7241;0.00485098;1.53567;0
185.722;26.9181;0.00493886;1.48162;0
185.709;59.875;0.00471037;1.40179;0
185.705;17.148;0.0100535;2.48284;0
185.702;46.5;0.00478067;1.97843;0
185.669;20.7918;0.0339041;1.76672;0
185.668;61.5752;0.00500916;1.28007;0
185.618;24.2237;0.00717101;1.05325;0
185.608;58.7554;0.00623948;1.07013;0
185.592;24.8566;0.00789162;1.35824;0
185.564;44.0691;0.0107038;1.61212;0
185.521;49.1604;0.00472794;2.01481;0
185.52;20.448;0.0298968;1.98754;0
185.512;45.7958;0.00474552;1.68776;0
185.493;42.3464;0.00572978;1.25473;0
185.476;56.989;0.00469279;1.69559;0
185.422;44.5584;0.00497401;3.17634;0
185.364;28.3108;0.00492128;1.29162;0
185.357;43.55;0.00775102;2.3473;0
185.353;26.8903;0.00815526;2.36294;0
185.347;58.0175;0.0139026;2.61964;0
185.307;53.4891;0.00485098;2.2829;0
185.303;44.5973;0.0047631;2.00538;0
185.299;61.6612;0.00472794;1.47709;0
185.295;60.0746;0.00543098;3.36028;0
185.288;26.9082;0.00877042;1.46903;0
185.277;44.4584;0.00560674;1.63413;0
185.274;43.0469;0.00903406;1.61004;0
185.273;42.39;0.00530795;1.31759;0
185.259;44.7339;0.00506189;1.7665;0
185.248;59.5217;0.011688;1.55217;0
185.236;55.4252;0.00478067;1.226;0
185.209;47.7528;0.00523765;2.15846;0
185.181;19.9796;0.00532553;1.5382;0
185.172;48.0022;0.0121977;1.83692;0
185.145;21.9002;0.00514977;1.6619;0
185.101;46.4033;0.0300725;1.89377;0
185.1;56.9985;0.00625706;1.20094;0
185.083;58.5758;0.0133226;1.89279;0
185.051;58.353;0.00481582;1.1905;0
185.009;46.1758;0.020353;1.36659;0
184.994;57.3917;0.00924498;1.13113;0
184.977;22.8659;0.00557159;2.3519;0
184.95;63.6269;0.00731162;1.89223;0
184.944;20.4072;0.00499158;1.27114;0
184.942;20.5714;0.0260828;1.61318;0
184.903;56.7195;0.00597584;1.17316;0
184.902;35.2139;0.0128656;4.94143;0
184.876;17.3336;0.00532553;2.13354;0
184.865;58.8612;0.00680191;1.24451;0
184.837;29.9645;0.00493886;2.25477;0
184.836;58.8777;0.00509704;2.46524;0
184.82;27.4995;0.00500916;1.52019;0
184.819;22.6298;0.021847;1.60393;0
184.804;19.6703;0.0103171;1.73401;0
184.789;26.2345;0.00471037;1.37443;0
184.754;59.7788;0.0047631;1.35177;0
184.71;19.9606;0.00574735;1.34346;0
184.707;26.7667;0.00796193;2.36341;0
184.703;24.9849;0.0116002;1.21928;0
184.698;19.792;0.00485098;1.34842;0
184.693;22.4293;0.00757526;1.52402;0
184.692;43.8505;0.0047631;1.42956;0
184.643;25.7969;0.00557159;1.54762;0
184.642;42.7043;0.00708313;1.30822;0
