Spacing,26
Voids


Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
24,30768.9,4015.25,19857.2,29885.7,3756.03,18863.5,0.425146,0.0366254,0.538229,0.124784,0.478357,0.140402,1170,468,1352,16.3575,42.8075,30327.3,3885.64,19360.3,8.63157e+07,0,0,2.52641,45,18,52,1354.49,226.603,
25,21503.7,1421.99,17716.9,24369.7,1552.7,15027.2,0.531096,0.00110485,0.467799,-0.0242236,0.498444,-0.0227343,3614,364,3432,182.611,46.8462,22936.7,1487.34,16372,8.39606e+07,0,0,2.36163,139,14,132,3932.57,129.497,
26,38138.7,5256.9,17423,32104.3,3818.9,14068,0.732122,0.0415751,0.226303,0.174465,0.40704,0.0969977,6708,1612,3718,13.4036,61.5942,35121.5,4537.9,15745.5,8.13945e+07,0,0,1.72764,258,62,143,7052.51,109.179,
27,24448.6,3166.76,10906.6,25868.1,3128.86,7315.38,0.135117,9.63387e-05,0.864787,0.00360791,0.341829,0.00912756,1612,260,3926,178.47,21.5747,25158.4,3147.81,9110.99,7.06204e+07,0,0,2.56597,62,10,151,3861.78,141.611,
28,12824.1,2774.7,28867.2,5402.72,1501.04,24359.6,0.715123,0.0210628,0.263814,0.122729,0.43435,0.0745432,7410,1352,4498,9.73824,59.0942,9113.42,2137.87,26613.4,6.91088e+07,0,0,1.48631,285,52,173,8775.98,109.9,
29,18443.3,2772.69,27165.6,14872.7,2160.83,25106.9,0.734328,0.0215633,0.244109,0.125835,0.423386,0.0725521,4082,728,2366,9.72384,60.3913,16658,2466.76,26136.3,6.75973e+07,0,0,2.01548,157,28,91,4166.73,112.443,
30,19083.7,4182.76,33874.9,12877.8,2973.66,30107.3,0.710977,0.0269883,0.262035,0.138521,0.431626,0.0840944,6994,1404,4212,11.0249,59.21,15980.7,3578.21,31991.1,6.66658e+07,0,0,1.52027,269,54,162,7359.98,109.883,
31,39035.2,5310.37,10936.7,36855.3,4767.16,9663.27,0.712591,0.0442479,0.243161,0.177569,0.416263,0.103727,2210,650,1482,13.9924,60.4545,37945.3,5038.77,10300,6.64021e+07,0,0,1.61502,85,25,57,2582.39,172.31,
32,15724.2,7093.58,40796.3,16221.2,6861.53,39769.8,0.182338,0.0397482,0.777914,0.0851329,0.376621,0.175843,702,416,1040,154.972,28.1161,15972.7,6977.56,40283.1,6.5207e+07,0,0,1.56634,27,16,40,1163.91,231.927,
33,22733.2,1134.69,7465.91,22523.8,1063.75,7016.21,0.174554,0.0200414,0.805404,0.0591466,0.374949,0.127049,520,416,572,18.7186,26.176,22628.5,1099.22,7241.06,6.50488e+07,0,0,1.2547,20,16,22,501.087,378.64,
34,26043.2,3867.57,21042.8,21773.7,2387.57,14251.3,0.273939,0.032917,0.693144,0.0949592,0.435751,0.15105,4264,1482,6760,19.1185,33.6382,23908.5,3127.57,17647,6.36251e+07,0,0,1.12163,164,57,260,8157.37,115.144,
35,7947.82,2469.23,20044.1,8679.11,2418.89,18990.9,0.324778,0.00153932,0.673683,0.0223593,0.467758,0.0322027,988,390,1326,176.062,34.8369,8313.46,2444.06,19517.5,6.28342e+07,0,0,2.03679,38,15,51,1283.21,206.968,
36,38068.9,4976.3,11758.6,35625,4406.38,10317.6,0.713235,0.038789,0.247976,0.16633,0.420553,0.0980751,2522,676,1560,13.127,60.1341,36846.9,4691.34,11038.1,5.13043e+07,0,0,2.2195,97,26,60,2893.78,115.312,
37,36461.9,5582.45,13883.2,36360.5,5523.35,13392.6,0.0404157,0.0137285,0.945856,0.0235552,0.195518,0.113952,520,416,546,30.2346,13.4554,36411.2,5552.9,13637.9,5.06365e+07,0,0,1.49267,20,16,21,504.456,309.289,
38,14348.1,7836.5,41601.6,18298.5,7480.96,39456.6,0.767494,0.006217,0.226289,0.0690761,0.416744,0.0375078,3666,416,2132,174.857,61.5952,16323.3,7658.73,40529.1,4.97049e+07,0,0,3.51466,141,16,82,4509.17,78.8108,
39,16388.7,2442.15,24367.2,12640.8,1738.24,22205.9,0.731088,0.0257895,0.243122,0.137311,0.421597,0.0791833,4030,832,2314,10.6372,60.4572,14514.8,2090.19,23286.5,4.85098e+07,0,0,2.3843,155,32,89,4383.26,88.1249,
40,23669.2,3288.68,2268.63,25875.1,3638.02,841.778,0.692775,0.0173746,0.28985,-0.109712,0.448108,-0.0709649,2340,468,1612,188.999,57.4267,24772.2,3463.35,1555.2,4.84043e+07,0,0,1.97516,90,18,62,2650.28,131.766,
41,19610.5,1390.76,13327.8,17435.3,937.09,11979.1,0.700328,0.0304626,0.269209,0.146061,0.434206,0.0905584,2470,572,1612,11.7808,58.7446,18522.9,1163.93,12653.5,4.80704e+07,0,0,1.88324,95,22,62,2599.31,135.5,
42,18675.3,1368.65,19899.7,20934.9,1405.85,17834,0.544652,0.000147646,0.4552,-0.00896747,0.497921,-0.00819807,2626,208,2470,180.943,47.5703,19805.1,1387.25,18866.8,4.77364e+07,0,0,1.57749,101,8,95,3061.8,128.143,
43,26178.8,5193.56,27593.3,27156.6,4897.87,24998.4,0.122928,0.0112425,0.865829,0.0371755,0.326243,0.0986614,1274,546,3302,163.174,21.4872,26667.7,5045.71,26295.9,4.71916e+07,0,0,2.29733,49,21,127,2788.78,129.474,
44,16362.4,4267.35,33690.4,15661.7,4128.82,33247.7,0.695283,0.0271749,0.277542,0.137456,0.439284,0.0868458,780,338,598,11.1831,58.209,16012.1,4198.09,33469,4.70685e+07,0,0,1.50921,30,13,23,840.336,238.358,
45,9411.11,6430.13,36787.2,11168.5,6269.72,35808.8,0.758542,0.00632047,0.235138,0.0692412,0.422329,0.038551,1690,338,1118,174.784,60.9934,10289.8,6349.93,36298,4.70334e+07,0,0,3.1134,65,13,43,2017.75,132.581,
46,14419.4,2582.06,25861.8,11105.6,1993.55,24029.6,0.747803,0.0235866,0.22861,0.132809,0.413468,0.0734312,3380,702,1924,10.0706,61.4365,12762.5,2287.81,24945.7,4.51527e+07,0,0,1.76124,130,27,74,3831.97,114.273,
