phi;theta;Vol (um3);Flatness;TargetNames;TargetVal
176.93;19.0249;0.361415;1.82425;HighAngle;1
177.996;24.7384;0.183546;3.15426;HighAngle;1
178.47;21.5747;0.0706204;2.56597;HighAngle;1
178.483;59.7651;0.0307932;1.6853;HighAngle;2
179.133;46.1269;0.0246591;1.72762;HighAngle;2
179.532;58.54;0.0265925;4.30083;HighAngle;2
179.649;22.8749;0.0256258;1.4987;HighAngle;1
179.784;52.3265;0.12428;1.20787;HighAngle;2
179.89;21.2689;0.0319532;1.53325;HighAngle;1
180.027;23.2507;0.0433248;1.86329;HighAngle;1
180.335;40.4162;0.0356969;1.23578;HighAngle;2
180.666;60.5419;0.0261179;1.29477;HighAngle;2
180.943;47.5703;0.0477364;1.57749;HighAngle;2
181.854;19.7814;0.0946116;1.60099;HighAngle;1
182.611;46.8462;0.0839606;2.36163;HighAngle;2
182.728;60.2511;0.0270495;1.78724;HighAngle;2
182.757;24.0489;0.161875;1.09836;HighAngle;1
183.822;18.4625;0.152999;1.6376;HighAngle;1
184.058;76.6653;0.0419188;1.81309;HighAngle;2
184.509;59.4531;0.029018;1.1383;HighAngle;2
184.942;20.5714;0.0260828;1.61318;HighAngle;1
185.101;46.4033;0.0300725;1.89377;HighAngle;2
185.52;20.448;0.0298968;1.98754;HighAngle;1
185.669;20.7918;0.0339041;1.76672;HighAngle;1
185.873;58.8965;0.0253446;4.93651;HighAngle;2
186.259;44.2638;0.104489;1.82917;HighAngle;2
186.683;52.4592;0.0334471;4.29433;HighAngle;2
187.58;20.957;0.0327265;1.43931;HighAngle;1
188.06;26.002;0.0283852;1.21424;HighAngle;1
188.681;25.4105;0.0238155;1.42892;HighAngle;1
188.999;57.4267;0.0484043;1.97516;HighAngle;2
189.273;43.4185;0.0396866;1.81184;HighAngle;2
190.09;9.9668;0.0283852;1.28044;HighAngle;1
191.303;47.8884;0.0366108;1.22975;HighAngle;2
204.085;16.8269;0.0251161;1.15672;HighAngle;1
